1,The Avengers,Marvel Studios / Walt Disney Pictures,1502623837,620323837,80563081,54385465,2012
2,The Dark Knight Rises,Warner Bros. / Legendary Pictures,1011514754,433311261,83076257,43037025,2012
3,Ice Age: Continental Drift,20th Century Fox / Blue Sky Studios,828549655,156149655,44881635,28406933,2012
4,The Amazing Spider-Man,Columbia Pictures / Marvel Studios,735111206,259811206,40257190,17924071,2012
5,The Hunger Games,Lionsgate,685069513,407999255,37332095,31072125,2012
6,Men in Black 3,Columbia Pictures,623862476,178856554,34182267,17740460,2012
7,Brave,Walt Disney Pictures / Pixar,470030114,232430114,20968452,17108679,2012
8,Snow White and the Huntsman,Universal Pictures,394084525,155111815,24738576,20952675,2012
9,Ted,Universal Pictures,384524215,216124215,40516015,35533809,2012
10,Harry Potter and the Deathly Hallows – Part 2,Warner Bros.,1328111219,381011219,117228296,51328689,2011
11,Transformers: Dark of the Moon,Paramount,1123746996,352390543,45470012,38820321,2011
12,Pirates of the Caribbean: On Stranger Tides,Disney,1043871802,241071802,54187325,29006640,2011
13,The Twilight Saga: Breaking Dawn – Part 1,Summit Entertainment,705058657,281287133,47806144,29109682,2011
14,Mission: Impossible – Ghost Protocol,Paramount,694713380,209397903,28916714,18954599,2011
15,Kung Fu Panda 2,DreamWorks,665692281,165249063,26906998,20219645,2011
16,Fast Five,Universal,626137675,209837675,30243825,26794607,2011
17,The Hangover Part II,Warner Bros.,581464305,254464305,53496869,35371018,2011
18,The Smurfs,Columbia/SPA,563749323,142614158,27805533,20564629,2011
19,Cars 2,Disney/Pixar,559852396,191452396,24894721,20811602,2011
20,Toy Story 3,Disney/Pixar,1063171911,415004880,116625632,37244540,2010
21,Alice in Wonderland,Disney,1024299904,334191110,64437055,37522010,2010
22,Harry Potter and the Deathly Hallows – Part 1,Warner Bros.,956399711,295983305,85243650,41350865,2010
23,Inception,,825531030,292576195,56566947,35351755,2010
24,Shrek Forever After,DreamWorks,752600867,238736787,51056068,27407206,2010
25,The Twilight Saga: Eclipse,Summit Entertainment,698491347,300531751,45709785,31989874,2010
26,Iron Man 2,Paramount/Marvel Studios,623933331,312128345,30456328,25777758,2010
27,Tangled,Disney,590721936,200821936,32752508,22555927,2010
28,Despicable Me,Universal,543113985,251513985,30499884,21817532,2010
29,How to Train Your Dragon,DreamWorks,494878759,217581231,26488493,20493485,2010
30,Avatar,Fox,2782275172,760507625,150025197,105779507,2009
31,Harry Potter and the Half-Blood Prince,Warner Bros.,934416487,301959197,84089250,34954004,2009
32,Ice Age: Dawn of the Dinosaurs,Fox/Blue Sky,886686817,196573705,56859040,24725499,2009
33,Transformers: Revenge of the Fallen,DreamWorks/Paramount,836303693,402111870,44383558,33554033,2009
34,2012,Columbia,769304749,166112167,31052159,18123801,2009
35,Up,Disney/Pixar,731342744,293004164,55413275,25296200,2009
36,The Twilight Saga: New Moon,Summit Entertainment,709827462,296623634,43409449,35164930,2009
37,Sherlock Holmes,Warner Bros.,524028679,209028679,39795286,22777578,2009
38,Angels & Demons,Columbia,485930816,133375846,30726140,14065391,2009
39,The Hangover,Warner Bros.,467483912,277322503,36033624,17934378,2009
40,Indiana Jones and the Kingdom of the Crystal Skull,Paramount/Lucasfilm,786636033,317101110,79283312,27981873,2008
41,Kung Fu Panda,Paramount/DreamWorks,631744560,215434591,39405501,24764811,2008
42,Hancock,Columbia,624386746,227946274,49170891,19636856,2008
43,Mamma Mia!,Universal,609827661,144130063,132342643,29287466,2008
44,Madagascar: Escape 2 Africa,Paramount/DreamWorks,603900354,180010950,35471617,15093421,2008
45,Quantum of Solace,MGM/Columbia,586090727,168368427,80805643,20645336,2008
46,Iron Man,Paramount/Marvel Studios,585174222,318412101,33822889,18880106,2008
47,WALL-E,Disney/Pixar,521311860,223808164,41215600,14165390,2008
48,The Chronicles of Narnia: Prince Caspian,Disney/Walden,419665568,141621490,21581030,13181570,2008
49,Pirates of the Caribbean: At World's End,Disney,963420425,309420425,81415664,29085288,2007
50,Harry Potter and the Order of the Phoenix,Warner Bros.,939885929,292004738,101360911,29409933,2007
51,Spider-Man 3,Columbia,890871626,336530303,67049819,19667403,2007
52,Shrek the Third,Paramount/DreamWorks,798958162,322719944,78167259,28594698,2007
53,Transformers,DreamWorks/Paramount,709709780,319246193,47478290,23929895,2007
54,Ratatouille,Disney/Pixar,623722818,206445654,48619933,13240587,2007
55,I Am Legend,Warner Bros.,605349010,256393010,51672734,21160195,2007
56,The Simpsons Movie,Fox,527071022,183135014,78426654,26654369,2007
57,National Treasure: Book of Secrets,Disney,457364600,219964115,17626166,11790412,2007
58,300,Warner Bros.,456068181,210614939,27994700,12304031,2007
